issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
OFBIZ-10220,Introduce support for condition-service for entity eca's as well,,,,,,,,0,0,925,1,1
OFBIZ-10221,Improve layout and structure of forms,,,,,,,,0,0,7937,1,1
OFBIZ-10222,Access the online help in Rainbow themes,,,,,,,,0,0,8731,1,1
OFBIZ-10223,Use Tomcat default ciphers,,,,,,,,0,0,3429,1,1
OFBIZ-10224,Add a way to add a specific condition to performFind service,,,,,,,,0,0,6520,1,1
OFBIZ-10225,Localise the messages returned by groovy scripts used in UI context,,,,,,,,0,0,11308,1,1
OFBIZ-10226,Adds groovyScripts in the Gradle sourceSets,,,,,,,,0,0,3424,1,1
OFBIZ-10227,Use agreement on drop shipment process,,,,,,,,0,0,6114,1,1
OFBIZ-10228,Build Failed Apache OFBiz with Build failed with an exception,,,,,,,,0,0,2175,1,1
OFBIZ-1023,ServiceUtil multiple success message convenience patch,,,,,,,,0,0,8393,1,1
OFBIZ-10230,Add agreement management on OrderItemPriceInfo,,,,,,,,0,0,10367,1,1
OFBIZ-10231,Convert ProductServices.xml mini lang to groovy,,,,,,,,0,0,10072,1,1
OFBIZ-10232,Survey response data lost on loadCartFromOrder service,,,,,,,,0,0,11568,1,1
OFBIZ-10233,Could not get e-mail to work - New of biz setup,,,,,,,,0,0,1716,1,1
OFBIZ-10234,Add enconding type attribute for import data file tools,,,,,,,,0,0,5280,1,1
OFBIZ-10235,Update org.ofbiz package to org.apache.ofbiz  in some missing entity def,,,,,,,,0,0,1850,1,1
OFBIZ-10236,UI Issue with Status ID at Parties page,,,,,,,,0,0,10643,1,1
OFBIZ-10237,The leads which are converted is displayed on the Find lead page.,,,,,,,,0,0,11855,1,1
OFBIZ-10238,Last 3 Months Sales Report not Working ,,,,,,,,0,0,2124,1,1
OFBIZ-10239,Improve GeneralLedgerServices to set AcctgTrans's transition date as payment's effective date,,,,,,,,0,0,11401,1,1
OFBIZ-1024,Class Reloadability Patch,,,,,,,,0,0,10990,1,1
