Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
3004,1,1,Can't connect to ML,Project / General Task,Trivial,1.6,A-126,0.0,1.6,0
3012,1,1,Dead code - CustomerEvents.xml ->setAnonUserLogin,Bug fixing / Maintenance,Trivial,1.6,A-154,0.0,1.6,1
3013,1,1,Broken JS file: jquery.hotkeys.js,Bug fixing / Maintenance,Trivial,1.6,A-273,0.0,1.6,1
3016,1,1,set ACTIVATED_LOOKUP to null if there's no other lookup dialog open,Bug fixing / Maintenance,Trivial,1.6,A-155,0.0,1.6,1
3023,1,1,Error messages are never displayed with BIZZNESS_TIME theme,Bug fixing / Maintenance,Trivial,1.6,A-175,0.0,1.6,1
3026,1,1,Add support to save HS Code in Goods Identification,Feature / Improvement Implementation,Trivial,1.6,A-239,0.0,1.6,1
3027,1,1,Extra screen included in Facility ,Bug fixing / Maintenance,Trivial,1.6,A-329,0.0,1.6,1
3057,1,1,"pen slip? word ""mlml"" in ListInvoices.ftl",Bug fixing / Maintenance,Trivial,1.6,A-303,0.0,1.6,1
3066,1,1,Workflow Engine throws error (fix included),Bug fixing / Maintenance,Trivial,1.6,A-127,0.0,1.6,1
3070,1,1,Just a better description for PortletCategory PRODUCTS,Feature / Improvement Implementation,Trivial,1.6,A-191,0.0,1.6,1
3074,1,1,trivial modification to themes/tomahawk/includes/appbarClose.ftl,Bug fixing / Maintenance,Trivial,1.6,A-286,0.0,1.6,1
3078,1,1,CommonScreens.xml not referring to proper jquery javascript files,Bug fixing / Maintenance,Trivial,1.6,A-236,0.0,1.6,1
3079,1,1,class files remain after ./ant clean-all,Bug fixing / Maintenance,Trivial,1.6,A-237,0.0,1.6,1
3098,1,1,Contact.ftl gives several errors if contact information is not correctly filled,Feature / Improvement Implementation,Trivial,1.6,A-12,0.0,1.6,1
3105,1,1,Minor adoption of the .gitignore file,Feature / Improvement Implementation,Trivial,1.6,A-220,0.0,1.6,0
3109,1,1,Typo in CatalogScreens.xml - productCatagories,Feature / Improvement Implementation,Trivial,1.6,A-38,0.0,1.6,1
3110,1,1,"defaultValue in EntityUtilProperties.getPropertyValue(String resource, String name, String defaultValue, Delegator delegator) method is forgotten",Bug fixing / Maintenance,Trivial,1.6,A-382,0.0,1.6,1
