from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-1264,ZOOKEEPER-1282,is part of,Incorporates,inward
ZOOKEEPER-1285,ZOOKEEPER-1279,is depended upon by,dependent,inward
ZOOKEEPER-1277,ZOOKEEPER-1278,is related to,Reference,inward
ZOOKEEPER-335,ZOOKEEPER-1278,is broken by,Regression,inward
ZOOKEEPER-2789,ZOOKEEPER-1277,Blocked,Blocked,inward
ZOOKEEPER-1277,ZOOKEEPER-1278,relates to,Reference,outward
ZOOKEEPER-1277,ZOOKEEPER-3253,relates to,Reference,outward
ZOOKEEPER-1285,ZOOKEEPER-1276,is depended upon by,dependent,inward
ZOOKEEPER-2062,ZOOKEEPER-1274,is related to,Reference,inward
ZOOKEEPER-1174,ZOOKEEPER-1271,is broken by,Regression,inward
ZOOKEEPER-1270,ZOOKEEPER-1194,incorporates,Incorporates,outward
ZOOKEEPER-1264,ZOOKEEPER-1282,incorporates,Incorporates,outward
SLIDER-862,ZOOKEEPER-1263,is related to,Reference,inward
ZOOKEEPER-1260,ZOOKEEPER-2287,duplicates,Duplicate,outward
ZOOKEEPER-1260,RANGER-924,relates to,Reference,outward
ZOOKEEPER-1285,ZOOKEEPER-1259,is depended upon by,dependent,inward
ZOOKEEPER-1285,ZOOKEEPER-1258,is depended upon by,dependent,inward
ZOOKEEPER-1256,ZOOKEEPER-2482,relates to,Reference,outward
ZOOKEEPER-1954,ZOOKEEPER-1256,is related to,Reference,inward
ZOOKEEPER-1285,ZOOKEEPER-1255,is depended upon by,dependent,inward
ZOOKEEPER-1285,ZOOKEEPER-1253,is depended upon by,dependent,inward
ZOOKEEPER-1249,ZOOKEEPER-1655,duplicates,Duplicate,outward
ZOOKEEPER-1049,ZOOKEEPER-1238,is related to,Reference,inward
ZOOKEEPER-1237,ZOOKEEPER-2044,duplicates,Duplicate,outward
ZOOKEEPER-1236,HADOOP-6941,relates to,Reference,outward
ZOOKEEPER-1236,ZOOKEEPER-938,relates to,Reference,outward
