issue_key,event_time,from_status,to_status
MAPREDUCE-7150,2018-10-15T18:43:22.057000+00:00,Patch Available,In Progress
MAPREDUCE-7150,2018-10-15T18:45:01.418000+00:00,In Progress,Patch Available
MAPREDUCE-7150,2018-10-16T20:47:38.338000+00:00,Patch Available,Resolved
MAPREDUCE-7149,2018-10-11T11:56:04.149000+00:00,Open,Patch Available
MAPREDUCE-7149,2018-10-11T19:02:23.994000+00:00,Patch Available,Resolved
MAPREDUCE-7148,2018-10-05T02:34:38.174000+00:00,Open,Patch Available
MAPREDUCE-7148,2018-11-07T14:31:12.567000+00:00,Patch Available,Resolved
MAPREDUCE-7147,2018-09-28T00:05:52.415000+00:00,Open,Patch Available
MAPREDUCE-7146,2018-09-28T01:45:20.752000+00:00,Open,Patch Available
MAPREDUCE-7143,2018-10-01T13:53:26.226000+00:00,Open,Patch Available
MAPREDUCE-7142,2018-09-20T10:01:41.352000+00:00,Open,Patch Available
MAPREDUCE-7142,2018-09-21T09:12:22.633000+00:00,Patch Available,Resolved
MAPREDUCE-7141,2019-01-10T21:21:24.203000+00:00,Open,In Progress
MAPREDUCE-7141,2019-01-17T16:33:42.540000+00:00,In Progress,Patch Available
MAPREDUCE-7140,2018-09-14T08:19:14.685000+00:00,Open,Patch Available
MAPREDUCE-7140,2018-09-14T20:15:09.144000+00:00,Patch Available,Resolved
MAPREDUCE-7139,2018-09-11T08:22:01.759000+00:00,Open,Patch Available
MAPREDUCE-7139,2018-09-11T09:06:18.465000+00:00,Patch Available,Open
MAPREDUCE-7139,2018-09-11T09:07:01.087000+00:00,Open,Patch Available
MAPREDUCE-7138,2018-09-10T17:28:59.400000+00:00,Open,Patch Available
MAPREDUCE-7138,2018-09-10T19:09:42.049000+00:00,Patch Available,Open
MAPREDUCE-7138,2018-09-10T19:09:59.592000+00:00,Open,Patch Available
MAPREDUCE-7138,2018-09-10T21:01:16.388000+00:00,Patch Available,Open
MAPREDUCE-7138,2018-09-10T21:01:35.335000+00:00,Open,Patch Available
MAPREDUCE-7138,2018-09-18T22:30:23.156000+00:00,Patch Available,Resolved
MAPREDUCE-7137,2018-09-10T15:08:22.993000+00:00,Open,Patch Available
MAPREDUCE-7137,2018-09-18T22:30:02.695000+00:00,Patch Available,Resolved
MAPREDUCE-7136,2018-09-10T11:48:12.054000+00:00,Open,Patch Available
MAPREDUCE-7136,2018-09-11T18:23:15.518000+00:00,Patch Available,Resolved
MAPREDUCE-7135,2018-09-10T10:31:21.410000+00:00,Open,Patch Available
MAPREDUCE-7135,2018-09-11T16:21:23.001000+00:00,Patch Available,Resolved
MAPREDUCE-7134,2018-09-05T11:00:29.639000+00:00,Open,Patch Available
