issue_key,jira_id,task_id
MAPREDUCE-1499,12456514,596
MAPREDUCE-1500,12456547,597
MAPREDUCE-1501,12456596,598
MAPREDUCE-1502,12456606,599
MAPREDUCE-1503,12456696,600
MAPREDUCE-1504,12456705,601
MAPREDUCE-1505,12456720,602
MAPREDUCE-1508,12456731,603
MAPREDUCE-1509,12456742,604
MAPREDUCE-1510,12456743,605
MAPREDUCE-1511,12456749,606
MAPREDUCE-1512,12456754,607
MAPREDUCE-1513,12456847,608
MAPREDUCE-1514,12456859,609
MAPREDUCE-1515,12456912,610
MAPREDUCE-1516,12456925,611
MAPREDUCE-1518,12456958,612
MAPREDUCE-1519,12456968,613
MAPREDUCE-1520,12456971,614
MAPREDUCE-1551,12457923,614
MAPREDUCE-1632,12460236,614
MAPREDUCE-1925,12468807,614
MAPREDUCE-1522,12457080,615
MAPREDUCE-4002,12546229,615
MAPREDUCE-1523,12457082,616
MAPREDUCE-1524,12457091,617
MAPREDUCE-1526,12457141,618
MAPREDUCE-1527,12457231,619
MAPREDUCE-1528,12457232,620
MAPREDUCE-1529,12457243,621
MAPREDUCE-1530,12457256,622
MAPREDUCE-1531,12457333,623
MAPREDUCE-1532,12457377,624
MAPREDUCE-1533,12457381,625
MAPREDUCE-1534,12457467,626
MAPREDUCE-1535,12457516,627
MAPREDUCE-1536,12457519,628
MAPREDUCE-1537,12457520,629
MAPREDUCE-2005,12471335,629
MAPREDUCE-5072,12637128,629
MAPREDUCE-1538,12457524,630
MAPREDUCE-1539,12457534,631
MAPREDUCE-1540,12457539,632
MAPREDUCE-1628,12457618,633
MAPREDUCE-1542,12457693,634
MAPREDUCE-1543,12457695,635
MAPREDUCE-1545,12457797,636
MAPREDUCE-1546,12457817,637
MAPREDUCE-1547,12457822,638
MAPREDUCE-1789,12464486,638
MAPREDUCE-2685,12514077,638
MAPREDUCE-1553,12457944,639
MAPREDUCE-1555,12458005,640
MAPREDUCE-4478,12600119,640
MAPREDUCE-1556,12458023,641
MAPREDUCE-2848,12519169,641
MAPREDUCE-1558,12458047,642
MAPREDUCE-1559,12458060,643
MAPREDUCE-1560,12458203,644
MAPREDUCE-1561,12458210,645
MAPREDUCE-1566,12458310,646
MAPREDUCE-1568,12458330,647
MAPREDUCE-1569,12458357,648
MAPREDUCE-1570,12458358,649
MAPREDUCE-1571,12458398,650
MAPREDUCE-1573,12458428,651
MAPREDUCE-1574,12458434,652
MAPREDUCE-1575,12458468,653
MAPREDUCE-1576,12458469,654
MAPREDUCE-1578,12458491,655
MAPREDUCE-1579,12458500,656
MAPREDUCE-1583,12458556,657
MAPREDUCE-1585,12458599,658
MAPREDUCE-1590,12458831,659
MAPREDUCE-1593,12458861,660
MAPREDUCE-1594,12458899,661
MAPREDUCE-2543,12508681,661
MAPREDUCE-1595,12458925,662
MAPREDUCE-1596,12458974,663
MAPREDUCE-1597,12458980,664
MAPREDUCE-1649,12460727,664
